id,objective,theta0,theta1
0.0,6.095948079999999,3.2699999999999996,2.612,
1.0,5.190453054791679,3.1539599999999997,2.899832,
2.0,4.441776823718902,2.99825856,3.131629952,
3.0,3.8076142112842892,2.85419298816,3.344448054272,
4.0,3.2704460119221657,2.72158971365376,3.540307907489792,
5.0,2.815437045234753,2.5995475929504153,3.7205681494289284,
6.0,2.4300211549941917,2.4872256551249747,3.8864713539976243,
7.0,2.1035541635162596,2.38384972785849,4.03916100599,
8.0,1.8270199073439726,2.288707295841747,4.179689514109074,
9.0,1.5927812344215715,2.201142592826713,4.309025466719837,
10.0,1.3943690859524736,2.1205520818256822,4.4280603078465965,
11.0,1.2263038379344169,2.046380295252134,4.537614481423649,
12.0,1.0839439682928176,1.9781160063777075,4.638443086179544,
13.0,0.9633578701947967,1.9152887057179038,4.731241080131553,
14.0,0.8612152713633054,1.8574653580601188,4.816648070562148,
15.0,0.7746952606770793,1.8042474177819334,4.895252722492276,
16.0,0.7014083819919772,1.755268081887824,4.967596816036675,
17.0,0.63933064361902,1.7101897618309436,5.034178980606439,
18.0,0.5867476209737313,1.6687017566945785,5.095458131696699,
19.0,0.5422071086582982,1.6305181116957599,5.151856633947378,
20.0,0.5044790143510556,1.5953756472508294,5.2037632122783135,
21.0,0.4725213868775405,1.563032145018357,5.251535631163659,
22.0,0.445451640247377,1.5332646784167703,5.295503160512377,
23.0,0.4225221789402586,1.5058680761098329,5.335968845150828,
24.0,0.40309975127524394,1.4806535078696021,5.373211593549796,
25.0,0.38664796065748425,1.4574471830699662,5.407488100192437,
26.0,0.37271245170881895,1.436089152840166,5.439034614833004,
27.0,0.3609083621619537,1.4164322076221878,5.468068570840921,
28.0,0.3509096939723886,1.3983408625334697,5.494790083853507,
29.0,0.3424403101060503,1.3816904235415677,5.5193833310667735,
30.0,0.3352663083574739,1.3663661280144255,5.54201782067101,
31.0,0.32918956158335083,1.3522623537225036,5.5628495601807035,
32.0,0.324042245949626,1.3392818908408555,5.582022131711476,
33.0,0.31968220607664405,1.3273352719334366,5.5996676816153395,
34.0,0.31598902907979654,1.3163401553015883,5.615907831295313,
35.0,0.3128607190809429,1.306220757446445,5.630854515477152,
36.0,0.31021088034933675,1.2969073307335295,5.644610753715962,
37.0,0.3079663312777629,1.2883356826593548,5.657271360455269,
38.0,0.3060650832981739,1.2804467334065934,5.668923598532622,
39.0,0.30445462891975594,1.2731861086382765,5.679647780635978,
40.0,0.30309049160952106,1.266503764724372,5.689517822856406,
41.0,0.30193499746692765,1.2603536438176213,5.698601754152437,
42.0,0.3009562347693981,1.2546933564012628,5.70696218523755,
43.0,0.30012717265409694,1.249483889120608,5.714656740122551,
44.0,0.2994249145962838,1.2446893358847109,5.721738453287287,
45.0,0.29883006606725104,1.2402766503847527,5.728256135219136,
46.0,0.29832619890822737,1.2362154183233884,5.734254708837774,
47.0,0.2978993976276456,1.2324776477851513,5.7397755191250015,
48.0,0.297537875091708,1.2290375763030446,5.7448566180937375,
49.0,0.29723164699461196,1.2258714932915435,5.749533027060338,
50.0,0.29697225611816724,1.2229575766221208,5.753836978027927,
51.0,0.29675253876557767,1.2202757422149069,5.757798135844471,
52.0,0.29656642691889035,1.2178075056097943,5.761443802666823,
53.0,0.2964087806562296,1.2155358545628727,5.764799106139986,
54.0,0.2962752462006151,1.2134451317900676,5.767887172588624,
55.0,0.2961621356800397,1.211520927049798,5.770729286414537,
56.0,0.2960663252781022,1.2097499778208338,5.77334503679873,
57.0,0.29598516896238003,1.2081200778907835,5.775752452719242,
